,the,and,of,a,to[infinitive],in[preposition],as,with,to[preposition],be,it,but,not,is,that[conjunction],for[preposition],that[relative],was,have,this,by[preposition],or,all,so[adverbdegree],which[relative],at,if,will[verb],had,such,are,one,more,were,than,from,would,for[conjunction],shall,what,on[preposition],there,when,yet,that[demonstrative],hath,no[adjective],any,into,should,out,an,who[relative],man,good,may,some,well,so[conjunction],other,being,no[adverb],these,so[adverbmanner],where,up[adverb],time,upon[preposition],never,make,thus,men,much,great,made,now,do,every,can,god,many,could,did,own,before,unto,after,most,nor,let,though,am,without,both,come,very,down,either,say,long,too,take,first,little,ever,old,two,poor,said,day,whose,set,heart,about,having,know,cannot,over,last,none,eyes,give,under,cause,far,end,till,again,leave,put,world,three,name,use,while,TRUE,fire,since,part,once,fall,love,then,how,like[preposition],might,therefore,against,only,been,must,life,those,thought,neither,nothing,think,seeing,because,came,here,go,doth,hand,fair,better,way,friend,place,rather,words,away,found,amongst,live,lord,head,whole,show,rest,night,look,mean,gentlemen,through,company,days,half,thing,wherein,see,mind,whom,king,father,house,country,young,nature,went,least,wit,another,forth,fear,brought,called,o,hope,face,full,master,new,best,also,hear,took,body,matter,court,years,reason,home,sent,law,friends,left,began,hast,sweet,fortune,why,answer,find,heard,done,off,youth,honest,die,speak,fell,desire,women,things,content,eye,whether,tell,woman
1 Conycatching,6.343117,4.630208,2.6764207,2.3374074,1.596931,1.6236953,1.2489964,1.0348827,1.1865466,0.82969046,0.6512624,0.820769,0.7583192,0.9545901,0.6601838,0.97243285,0.731555,0.57096976,0.6244982,0.61557674,0.57096976,0.7850834,0.5620484,0.3568561,0.30332768,0.7137122,0.49959853,0.6691052,0.33901328,0.3746989,0.49067715,0.4282273,0.18734945,0.15166384,0.12489963,0.10705683,0.30332768,0.26764208,0.26764208,0.3657775,0.18734945,0.33901328,0.27656347,0.21411365,0.3657775,0.21411365,0.18734945,0.16950664,0.28548488,0.10705683,0.23195647,0.22303507,0.19627085,0.3657775,0.28548488,0.17842805,0.3836203,0.27656347,0.33901328,0.28548488,0.09813543,0.09813543,0.3568561,0.16950664,0.10705683,0.24087787,0.09813543,0.28548488,0.13382104,0.15166384,0.24979927,0.20519225,0.03568561,0.09813543,0.09813543,0.12489963,0.18734945,0.14274244,0.08921403,0.12489963,0.14274244,0.12489963,0.03568561,0.026764207,0.24087787,0.07137122,0.08029262,0.053528413,0.053528413,0.09813543,0.12489963,0.08921403,0.053528413,0.062449817,0.15166384,0.062449817,0.14274244,0.20519225,0.062449817,0.03568561,0.017842805,0.062449817,0.08029262,0.053528413,0.07137122,0.008921403,0.16950664,0.3122491,0.13382104,0.044607013,0.07137122,0.09813543,0.08029262,0.10705683,0.053528413,0.07137122,0.008921403,0.053528413,0.12489963,0.044607013,0.026764207,0.12489963,0.026764207,0.017842805,0.044607013,0.062449817,0.09813543,0.08029262,0.053528413,0.053528413,0.062449817,0.14274244,0.15166384,0.07137122,0.053528413,0.008921403,0.026764207,0.008921403,0.08029262,0.044607013,0.03568561,0.017842805,0.46391293,0.08921403,0.12489963,0.11597823,0.16058524,0.08029262,0.08029262,0.07137122,0.13382104,0.053528413,0.044607013,0.053528413,0.03568561,0.026764207,0.03568561,0.12489963,0.08029262,0.062449817,0.10705683,0.19627085,0.062449817,0.07137122,0.062449817,0.026764207,0.08029262,0.08921403,0.062449817,0.03568561,0.044607013,0.16058524,0.044607013,0.053528413,0.08029262,0.017842805,0.044607013,0,0.044607013,0.017842805,0.026764207,0.053528413,0.08029262,0.11597823,0.03568561,0.03568561,0,0.09813543,0.008921403,0.026764207,0.18734945,0.017842805,0.062449817,0.008921403,0,0.08921403,0.23195647,0.026764207,0.017842805,0.12489963,0,0.008921403,0.053528413,0.044607013,0.044607013,0.053528413,0.07137122,0.08921403,0.03568561,0.053528413,0.044607013,0.03568561,0.026764207,0.017842805,0.08029262,0.03568561,0.017842805,0.008921403,0.08921403,0.017842805,0,0.008921403,0.053528413,0.044607013,0.3568561,0.062449817,0.026764207,0.07137122,0.008921403,0.03568561,0.044607013,0.08921403,0.03568561,0.026764207,0.062449817,0.017842805,0.08921403,0,0.15166384,0,0.017842805,0.03568561,0.008921403,0.03568561,0,0.08921403,0.008921403,0,0,0.07137122
2 Conycatching,6.7480426,5.3508368,2.7406726,2.487333,1.6966068,1.6889298,1.15922,1.0287118,1.2743744,0.89052665,1.0056809,0.7830493,0.4836481,0.97497314,0.7216337,0.9442653,0.9289114,0.62183326,0.60647935,0.72931063,0.47597113,0.87517273,0.4145555,0.40687856,0.330109,0.7984032,0.42223245,0.29172423,0.5373868,0.4529403,0.42223245,0.33778596,0.1842469,0.1842469,0.09212345,0.2149547,0.1842469,0.44526333,0.16889298,0.30707815,0.1842469,0.499002,0.2303086,0.16121604,0.38384768,0.28404728,0.046061724,0.40687856,0.26101643,0.1151543,0.2686934,0.16889298,0.28404728,0.36081684,0.16889298,0.2149547,0.4299094,0.35313988,0.23798557,0.26101643,0.09212345,0.13050821,0.23798557,0.30707815,0.1996008,0.1842469,0.16121604,0.2149547,0.1151543,0.17656994,0.16121604,0.19192384,0.1151543,0.22263166,0.22263166,0.13818517,0.17656994,0.15353908,0.08444649,0.07676954,0.06909259,0.053738676,0.08444649,0.046061724,0.10747735,0.0998004,0.13050821,0.13050821,0.13050821,0.14586212,0.07676954,0.06141563,0.17656994,0.06909259,0.19192384,0.12283126,0.0998004,0.16889298,0.03838477,0.13050821,0.08444649,0.2149547,0.09212345,0.0998004,0.07676954,0.14586212,0.15353908,0.15353908,0.15353908,0.06141563,0.03838477,0.10747735,0.046061724,0.16889298,0.10747735,0.06141563,0.046061724,0.046061724,0.10747735,0.046061724,0.015353908,0.06141563,0.030707816,0.023030862,0.046061724,0.03838477,0.10747735,0.12283126,0.08444649,0.053738676,0.046061724,0.16889298,0.06141563,0.03838477,0.0998004,0.030707816,0.046061724,0.03838477,0.023030862,0.030707816,0.03838477,0.007676954,0.5297098,0.17656994,0.22263166,0.1151543,0.22263166,0.1151543,0.13818517,0.06909259,0.030707816,0.053738676,0.08444649,0.06909259,0.03838477,0.023030862,0.030707816,0.09212345,0.07676954,0.15353908,0.053738676,0.10747735,0.06909259,0.2149547,0.07676954,0.06909259,0.03838477,0.06141563,0.1151543,0.023030862,0.030707816,0.22263166,0.06141563,0.06909259,0.053738676,0.015353908,0.030707816,0.023030862,0.030707816,0.053738676,0.06141563,0.046061724,0.03838477,0.12283126,0.015353908,0.03838477,0.023030862,0.023030862,0.015353908,0.023030862,0.13050821,0.03838477,0.046061724,0.023030862,0,0.09212345,0.1151543,0.053738676,0.08444649,0.15353908,0.06141563,0.015353908,0.046061724,0,0.023030862,0.06141563,0.10747735,0.007676954,0.03838477,0.023030862,0.03838477,0.053738676,0.07676954,0.023030862,0.007676954,0.046061724,0.07676954,0,0.03838477,0.015353908,0.007676954,0.007676954,0.046061724,0.03838477,0.16121604,0.06141563,0.046061724,0.0998004,0.023030862,0,0.06909259,0.015353908,0.03838477,0.007676954,0.023030862,0.07676954,0.0998004,0.015353908,0.12283126,0,0,0.03838477,0.030707816,0.023030862,0.007676954,0.015353908,0.046061724,0.015353908,0.053738676,0.007676954
3 Conycatching,6.4991655,3.9773781,2.7628407,1.9840534,1.8542556,1.7059151,1.4741331,1.1589097,1.3536066,0.6397182,1.1310959,0.6953458,0.80660117,0.36157984,0.54700536,0.80660117,0.6211756,1.2608937,0.4635639,0.9085852,0.7417022,0.47283515,0.40793622,0.40793622,0.5562767,0.5562767,0.18542555,0.16688299,0.8436863,0.7787873,0.21323939,0.54700536,0.2874096,0.40793622,0.20396811,0.26886705,0.500649,0.21323939,0.083441496,0.31522343,0.4635639,0.34303728,0.4542926,0.13906917,0.2503245,0.064898945,0.17615427,0.25959578,0.19469683,0.32449472,0.14834045,0.21323939,0.30595216,0.35230854,0.35230854,0.21323939,0.32449472,0.35230854,0.092712775,0.43575004,0.2874096,0.22251067,0.13906917,0.38939366,0.26886705,0.33376598,0.35230854,0.22251067,0.092712775,0.14834045,0.11125533,0.14834045,0.15761171,0.101984054,0.24105322,0.16688299,0.21323939,0.11125533,0.074170224,0.064898945,0.18542555,0.2966809,0.16688299,0.12979789,0.17615427,0.101984054,0.13906917,0.12979789,0.037085112,0.14834045,0.12979789,0.092712775,0.037085112,0.26886705,0.13906917,0.38939366,0.16688299,0.064898945,0.064898945,0.101984054,0.046356387,0.12979789,0.046356387,0.18542555,0.083441496,0.018542556,0.2503245,0.13906917,0.18542555,0.055627666,0.055627666,0.11125533,0.009271278,0.23178194,0.12979789,0.12052661,0.027813833,0.064898945,0.009271278,0.027813833,0.037085112,0.055627666,0.018542556,0.037085112,0.064898945,0.009271278,0.018542556,0.17615427,0.12052661,0.11125533,0.046356387,0.074170224,0.101984054,0.027813833,0.074170224,0.064898945,0.009271278,0.074170224,0.037085112,0.009271278,0.018542556,0.009271278,0.19469683,0.26886705,0.009271278,0.13906917,0.046356387,0.046356387,0.092712775,0.12052661,0.092712775,0.027813833,0.027813833,0.037085112,0.037085112,0.074170224,0.037085112,0.12052661,0.22251067,0.19469683,0.055627666,0.22251067,0,0.101984054,0.046356387,0.14834045,0.083441496,0.13906917,0.17615427,0.037085112,0.083441496,0.11125533,0.092712775,0.055627666,0.009271278,0.018542556,0.018542556,0.027813833,0.046356387,0.12052661,0.101984054,0.064898945,0.055627666,0.037085112,0,0.037085112,0.009271278,0.074170224,0.074170224,0.037085112,0.18542555,0.037085112,0.13906917,0.009271278,0.055627666,0.2503245,0.18542555,0.12979789,0,0.037085112,0.12979789,0.018542556,0.13906917,0.15761171,0,0.046356387,0.064898945,0.009271278,0.046356387,0.018542556,0,0.23178194,0.027813833,0.046356387,0.092712775,0.074170224,0.064898945,0.027813833,0.046356387,0.027813833,0.009271278,0.018542556,0.055627666,0.12052661,0.009271278,0.064898945,0.064898945,0.037085112,0.009271278,0,0.009271278,0,0,0.018542556,0.11125533,0.12052661,0.027813833,0.018542556,0.30595216,0,0.064898945,0,0.018542556,0.009271278,0.083441496,0.009271278,0.009271278,0.055627666,0,0.009271278
Anatomy of Absurdity,5.2267756,2.2642307,4.4156027,2.080835,2.151372,2.2078013,1.4248431,1.1568033,1.3895746,1.2273401,0.94519293,0.7970657,0.987515,1.0792128,0.41616702,0.50081116,1.206179,0.4867038,0.43732807,0.37384495,0.83233404,0.47259647,0.45143542,0.40205967,0.92403185,0.22571771,0.2962545,0.395006,0.1622346,0.34563026,0.6771531,0.47259647,0.4867038,0.31741554,0.40205967,0.4302744,0.23982507,0.021161035,0.1622346,0.35268393,0.15518093,0.37384495,0.31036186,0.14107357,0.45143542,0.2327714,0.16928828,0.23982507,0.20455667,0.3033082,0.20455667,0.2680398,0.43732807,0.2327714,0.10580518,0.3033082,0.2680398,0.15518093,0.22571771,0.2680398,0.2892008,0.17634197,0.31741554,0.197503,0.10580518,0.08464414,0.12696621,0.09169782,0.12696621,0.17634197,0.10580518,0.4302744,0.20455667,0.070536785,0.0987515,0.0987515,0.112858854,0.19044931,0.14107357,0.04937575,0.2892008,0.04937575,0.0987515,0.070536785,0.19044931,0.2327714,0.09169782,0.15518093,0.063483104,0.1340199,0.14107357,0.063483104,0.119912535,0.04232207,0.04937575,0.063483104,0.056429427,0.077590466,0.0987515,0.08464414,0.10580518,0.063483104,0.10580518,0.063483104,0.04937575,0.04937575,0.077590466,0.056429427,0.056429427,0.056429427,0.10580518,0.0987515,0.028214714,0.077590466,0.09169782,0.12696621,0.04232207,0.08464414,0.007053678,0.021161035,0.04232207,0.021161035,0.0987515,0.028214714,0.070536785,0.09169782,0.063483104,0.014107357,0.021161035,0.056429427,0.063483104,0.04232207,0.056429427,0.09169782,0.021161035,0.014107357,0.035268392,0.04232207,0.028214714,0.04232207,0.014107357,0.077590466,0.112858854,0.17634197,0.056429427,0.197503,0.070536785,0.070536785,0.18339564,0.0987515,0.09169782,0.112858854,0.18339564,0.04232207,0.077590466,0.08464414,0.09169782,0.028214714,0.197503,0.035268392,0.04232207,0.035268392,0.112858854,0.021161035,0.014107357,0.070536785,0.0987515,0.04232207,0.10580518,0.12696621,0.056429427,0.04232207,0.08464414,0.08464414,0.04937575,0.007053678,0.028214714,0.04937575,0.063483104,0.014107357,0.028214714,0.028214714,0.021161035,0.014107357,0.04232207,0.028214714,0.04232207,0.028214714,0.119912535,0.04937575,0.08464414,0.04232207,0.09169782,0.028214714,0.04232207,0.014107357,0.070536785,0.070536785,0.056429427,0,0.21866404,0.04937575,0.12696621,0.08464414,0.021161035,0.028214714,0.028214714,0.014107357,0.014107357,0.04937575,0.035268392,0.021161035,0.08464414,0.028214714,0.077590466,0.035268392,0.021161035,0.028214714,0.035268392,0.021161035,0.04937575,0.04232207,0.014107357,0.021161035,0.04232207,0.021161035,0.028214714,0.007053678,0.021161035,0.028214714,0.035268392,0.04232207,0.021161035,0.04937575,0,0,0,0.04937575,0.021161035,0.028214714,0.0987515,0.014107357,0.021161035,0.1340199,0.3244692,0.028214714,0.021161035,0.0987515,0.028214714,0.119912535
Arbasto,4.431324,2.6724675,2.2560596,1.7277812,2.9583592,1.7339963,1.4045991,2.0198882,1.0689869,1.0192666,0.6836544,1.373524,1.3673089,1.0192666,0.9384711,0.6028589,0.27967682,0.59664387,0.47234306,0.6587943,0.82038534,0.47855812,0.21131137,0.74580485,0.70851463,0.54070854,0.5531386,0.4474829,0.37911746,0.32939714,0.18023618,0.33561218,0.43505284,0.27967682,0.26724672,0.33561218,0.19266625,0.48477316,0.21752642,0.33561218,0.16159105,0.105655685,0.2921069,0.49720323,0.33561218,0.33561218,0.21752642,0.1367309,0.31075203,0.28589186,0.14294593,0.22374146,0.19266625,0.055935364,0.21752642,0.118085764,0.105655685,0.14294593,0.2299565,0.16159105,0.3418272,0.2610317,0.28589186,0.049720325,0.20509633,0.031075202,0.19266625,0.08079553,0.16780609,0.105655685,0.22374146,0.055935364,0.14916097,0.11187073,0.105655685,0.2610317,0.08701056,0.04350528,0.1988813,0.06836545,0.024860162,0.22374146,0.14294593,0.14294593,0.12430081,0.1988813,0.16159105,0.29832193,0.14294593,0.055935364,0.18023618,0.118085764,0.24860162,0.09944065,0.08701056,0.08079553,0.062150404,0.18645121,0.08701056,0.09944065,0.1367309,0.12430081,0.093225606,0.09944065,0.093225606,0.062150404,0.024860162,0.08701056,0.012430081,0.012430081,0.055935364,0.03729024,0.118085764,0.01864512,0.105655685,0.04350528,0.093225606,0.049720325,0.14294593,0.14916097,0.06836545,0.06836545,0.049720325,0.13051584,0.049720325,0.04350528,0.055935364,0.012430081,0.08079553,0.006215041,0.006215041,0.031075202,0.006215041,0.04350528,0.08079553,0.024860162,0.08079553,0.08079553,0.006215041,0.06836545,0.03729024,0.8763207,0.24860162,0.1367309,0.055935364,0.09944065,0.20509633,0.18645121,0.12430081,0.16159105,0.093225606,0.18023618,0.03729024,0.09944065,0.055935364,0.03729024,0.21131137,0.12430081,0.118085764,0.031075202,0.024860162,0.024860162,0.06836545,0.04350528,0.04350528,0.03729024,0.01864512,0.11187073,0.04350528,0.06836545,0.07458048,0.03729024,0.093225606,0,0.09944065,0.012430081,0.04350528,0.024860162,0.08079553,0.03729024,0.024860162,0.06836545,0.07458048,0.012430081,0.062150404,0.03729024,0.062150404,0.012430081,0.006215041,0.03729024,0.14916097,0.2610317,0.14916097,0.024860162,0.07458048,0.006215041,0.08079553,0.024860162,0.12430081,0.049720325,0.118085764,0.01864512,0.012430081,0.08079553,0.09944065,0.031075202,0.08701056,0.08079553,0.16159105,0.024860162,0.01864512,0.024860162,0.01864512,0.04350528,0.031075202,0.062150404,0.03729024,0.012430081,0,0.03729024,0.012430081,0.07458048,0.024860162,0.04350528,0.04350528,0.031075202,0.031075202,0.12430081,0.14916097,0.062150404,0.2734618,0.118085764,0.08079553,0.08079553,0.031075202,0.024860162,0.031075202,0.012430081,0,0.062150404,0.024860162,0.08079553,0.1367309,0.024860162,0.031075202,0.04350528,0.04350528,0.01864512,0.012430081,0.01864512
Black Book's Messenger,4.0196233,4.890014,2.405444,3.1492324,2.5320463,1.8673841,1.2185472,1.2185472,1.1077702,0.8387403,1.2976737,0.8545656,0.7912644,0.5697104,1.0919449,1.0128185,0.7437886,0.8703909,0.8545656,0.5697104,0.47475865,0.6330116,0.6330116,0.47475865,0.47475865,0.8703909,0.52223456,0.712138,0.64883685,0.45893338,0.26902992,0.4272828,0.1582529,0.22155404,0.22155404,0.2532046,0.44310808,0.47475865,0.22155404,0.22155404,0.33233106,0.3006805,0.22155404,0.3165058,0.22155404,0.18990347,0.20572875,0.26902992,0.47475865,0.18990347,0.2848552,0.3006805,0.1582529,0.4272828,0.2532046,0.07912645,0.36398163,0.2532046,0.22155404,0.23737933,0.1266023,0.1424276,0.1582529,0.2848552,0.20572875,0.33233106,0.20572875,0.1424276,0.20572875,0.23737933,0.26902992,0.17407818,0.1424276,0.094951734,0.18990347,0.11077702,0.1424276,0.17407818,0.11077702,0.18990347,0.1582529,0.3006805,0.18990347,0.07912645,0.23737933,0.047475867,0.1266023,0.094951734,0.1424276,0.11077702,0.1582529,0.07912645,0.11077702,0.06330115,0.18990347,0.17407818,0.23737933,0.047475867,0.094951734,0.1582529,0.11077702,0.17407818,0.1266023,0.17407818,0.094951734,0.1582529,0.17407818,0.015825288,0.11077702,0.1266023,0.031650577,0.1424276,0.031650577,0.2848552,0.1582529,0.07912645,0.07912645,0.17407818,0.094951734,0.015825288,0.015825288,0.07912645,0.047475867,0.015825288,0.015825288,0.1582529,0.1266023,0.031650577,0.07912645,0.17407818,0.031650577,0.094951734,0.07912645,0.047475867,0.094951734,0.015825288,0.015825288,0.015825288,0.1266023,0.07912645,0.11077702,0.07912645,0.3165058,0.33233106,0.1424276,0.094951734,0.1424276,0,0.047475867,0.1266023,0.06330115,0.2532046,0,0.1266023,0.06330115,0.07912645,0.06330115,0.07912645,0.07912645,0.17407818,0.094951734,0.1424276,0.047475867,0.094951734,0.11077702,0.094951734,0.07912645,0.07912645,0.06330115,0.094951734,0.015825288,0.11077702,0.06330115,0.094951734,0.047475867,0.015825288,0.06330115,0.031650577,0.031650577,0.015825288,0.094951734,0.047475867,0.06330115,0.2532046,0.015825288,0.1424276,0.015825288,0.047475867,0.031650577,0.031650577,0.1424276,0,0.1424276,0,0.015825288,0.07912645,0.1424276,0.07912645,0,0.06330115,0.015825288,0,0.031650577,0.1266023,0.094951734,0.047475867,0.07912645,0.031650577,0.047475867,0.047475867,0.031650577,0.047475867,0.06330115,0.047475867,0.015825288,0.06330115,0.07912645,0.047475867,0.11077702,0.015825288,0.06330115,0,0.047475867,0.11077702,0.047475867,0.1266023,0.031650577,0.11077702,0,0.015825288,0,0.06330115,0.07912645,0,0.031650577,0.11077702,0.015825288,0,0.1582529,0.047475867,0.015825288,0.1266023,0,0,0,0,0.06330115,0,0.1266023,0.031650577
Brief Answer,4.46606,4.183663,2.72984,1.2550988,2.4265244,2.1859639,1.4538229,0.98316073,1.328313,0.83673257,0.9099467,0.5752536,0.71122265,0.6275494,1.0040791,0.669386,0.50203955,1.0877523,0.5124987,0.6589269,0.5124987,0.3660705,0.930865,0.5647945,0.596172,0.35561132,0.20918314,0.40790713,0.44974375,0.69030434,0.32423386,0.41836628,0.23010145,0.49158037,0.094132416,0.37652966,0.30331555,0.3660705,0.2928564,0.3137747,0.18826483,0.3137747,0.2928564,0.19872399,0.25101978,0.2196423,0.1673465,0.34515217,0.2196423,0.25101978,0.0732141,0.17780566,0.4811212,0.20918314,0.25101978,0.334693,0.19872399,0.32423386,0.10459157,0.334693,0.17780566,0.1464282,0.15688735,0.26147893,0.23010145,0.1464282,0.32423386,0.115050726,0.08367325,0.20918314,0.031377472,0.2405606,0.08367325,0.19872399,0.28239724,0.094132416,0.2196423,0.13596904,0.20918314,0.38698882,0.115050726,0.1673465,0.3660705,0.1673465,0.17780566,0.15688735,0.19872399,0.13596904,0.15688735,0.12550989,0.08367325,0.094132416,0.094132416,0.20918314,0.115050726,0.2405606,0.20918314,0.08367325,0.17780566,0.10459157,0.031377472,0.13596904,0.08367325,0.052295785,0.020918313,0.010459157,0.10459157,0.020918313,0.17780566,0.052295785,0.094132416,0.15688735,0.094132416,0.031377472,0.041836627,0.115050726,0.031377472,0.041836627,0.041836627,0.031377472,0.010459157,0.052295785,0.031377472,0.15688735,0.041836627,0.08367325,0.020918313,0.1673465,0.020918313,0.0732141,0.052295785,0.062754944,0.062754944,0.041836627,0.031377472,0.13596904,0.010459157,0.062754944,0.052295785,0.010459157,0.052295785,0.12550989,0.42882544,0.334693,0.052295785,0.13596904,0.0732141,0.18826483,0.10459157,0.094132416,0.0732141,0.17780566,0.1673465,0.12550989,0.13596904,0.052295785,0.08367325,0.020918313,0.08367325,0.08367325,0.15688735,0.020918313,0.2196423,0.052295785,0.010459157,0.031377472,0.13596904,0.010459157,0.094132416,0.020918313,0.094132416,0.052295785,0.12550989,0.010459157,0.041836627,0.10459157,0.031377472,0.041836627,0.094132416,0.041836627,0.010459157,0.020918313,0.010459157,0.010459157,0.041836627,0.031377472,0.031377472,0,0.052295785,0.052295785,0.20918314,0.12550989,0.15688735,0.010459157,0.08367325,0.10459157,0.19872399,0,0.10459157,0.062754944,0.031377472,0.020918313,0.052295785,0.115050726,0.0732141,0.10459157,0.041836627,0.052295785,0.052295785,0.115050726,0.020918313,0.26147893,0,0,0.1464282,0.094132416,0.010459157,0.020918313,0.10459157,0.020918313,0.052295785,0.052295785,0.052295785,0.052295785,0.031377472,0.041836627,0.010459157,0.031377472,0.052295785,0.020918313,0.020918313,0.010459157,0.17780566,0.094132416,0.020918313,0.020918313,0.062754944,0.020918313,0.010459157,0.052295785,0.010459157,0.010459157,0.0732141,0,0.0732141,0,0,0.031377472,0.020918313,0
Christ's Tears,5.001802,4.058708,3.704297,1.5838373,1.8561531,2.0583878,0.98714507,1.0772496,1.1152937,1.0832566,1.2374355,1.1653519,1.271475,1.3255377,0.55264103,0.8469825,0.8549918,0.44651797,0.94109166,0.4144808,0.43049937,0.7969244,0.67678505,0.3624204,0.4505226,0.29233912,0.40647152,0.5666573,0.28032517,0.13015097,0.5446318,0.3183693,0.35040647,0.3343879,0.27832285,0.49257138,0.39245525,0.15217653,0.5786713,0.24628569,0.39445758,0.33639023,0.3343879,0.15417884,0.26230428,0.3704297,0.440511,0.3183693,0.28432983,0.3263786,0.39045292,0.18621601,0.08609988,0.254295,0.16018581,0.17420207,0.11213007,0.0881022,0.19222298,0.13415562,0.09611149,0.18821834,0.15417884,0.09811381,0.08409756,0.30235073,0.106123105,0.12414401,0.21224621,0.13415562,0.050058067,0.21825318,0.1321533,0.11012775,0.12013936,0.13816026,0.20824157,0.14817189,0.1501742,0.4565296,0.18020904,0.06407432,0.108125426,0.19222298,0.12013936,0.28032517,0.1321533,0.09811381,0.06807897,0.17420207,0.11813704,0.08409756,0.076088265,0.056065034,0.14416723,0.048055746,0.106123105,0.034039486,0.062072005,0.08609988,0.06006968,0.102118455,0.12214168,0.07008129,0.11813704,0.062072005,0.05206039,0.11213007,0.076088265,0.07408594,0.038044132,0.06407432,0.08209523,0.076088265,0.05806736,0.040046453,0.0881022,0.102118455,0.028032517,0.11613472,0.12414401,0.106123105,0.12814865,0.04204878,0.048055746,0.04605342,0.0440511,0.05206039,0.05206039,0.08409756,0.11813704,0.034039486,0.0440511,0.02202555,0.01601858,0.05206039,0.048055746,0.05206039,0.06607665,0.05806736,0.04204878,0.07008129,0.108125426,0.17219976,0.16018581,0.09811381,0.06807897,0.24228105,0.18221137,0.14016259,0.16018581,0.09611149,0.17820673,0.04204878,0.028032517,0.14216492,0.056065034,0.012013936,0.08409756,0.05206039,0.06607665,0.07408594,0.034039486,0.08609988,0.014016259,0.038044132,0.05206039,0.014016259,0.040046453,0.036041807,0.06807897,0.04605342,0.01601858,0.10412078,0.07408594,0.13615794,0.034039486,0.06607665,0.03203716,0.03203716,0.04605342,0.09210684,0.010011613,0.01601858,0.0440511,0.014016259,0.06006968,0.062072005,0.06807897,0.040046453,0.08409756,0.03203716,0.10412078,0.040046453,0.072083615,0.1141324,0.018020904,0.056065034,0.026030196,0.03003484,0.0440511,0.040046453,0.08609988,0.08009291,0.024027873,0.04204878,0.0440511,0.15417884,0.02202555,0.03203716,0.056065034,0.020023227,0.018020904,0.036041807,0.03203716,0.06407432,0.048055746,0.05206039,0.018020904,0.02202555,0.06607665,0.026030196,0.020023227,0.08009291,0.0440511,0.004004645,0.0881022,0.002002323,0.12814865,0.024027873,0.01601858,0.062072005,0.006006968,0.00800929,0.06006968,0.036041807,0.056065034,0.00800929,0.004004645,0.040046453,0.04605342,0.00800929,0.01601858,0.03003484,0.04605342,0.038044132,0.01601858,0.026030196,0.012013936,0.024027873
Ciceronis Amor,4.9258566,3.2043633,3.7412646,1.7087097,2.1646497,2.002727,1.5041759,1.5936594,1.2485086,0.7968297,0.56246805,1.1845918,0.945969,0.6903017,0.8437021,0.8351798,0.7073462,0.74143517,0.4729845,0.72012955,0.6349071,0.30680075,0.39202318,0.5582069,0.32810634,0.60081816,0.56246805,0.26845065,0.38350093,0.4133288,0.39202318,0.31106186,0.2556673,0.27271178,0.26418954,0.40480655,0.15340038,0.1576615,0.16192262,0.24288392,0.25140616,0.1193114,0.14487813,0.32384524,0.30253962,0.34515086,0.21305607,0.102266915,0.30253962,0.1576615,0.20879495,0.15340038,0.23436168,0.16618374,0.042611215,0.11505028,0.14487813,0.14061701,0.3195841,0.12783365,0.20027271,0.10652804,0.16618374,0.068177946,0.13635589,0.16192262,0.12783365,0.11505028,0.08948355,0.22157831,0.37071759,0.08948355,0.08948355,0.14061701,0.26418954,0.08522243,0.051133458,0.07243907,0.14913926,0.038350094,0.1193114,0.14061701,0.1576615,0.1576615,0.13209477,0.063916825,0.12783365,0.10652804,0.1789671,0.10652804,0.063916825,0.038350094,0.11505028,0.08096131,0.0596557,0.068177946,0.08522243,0.098005794,0.11078916,0.068177946,0.08948355,0.063916825,0.07243907,0.07670019,0.11078916,0.025566729,0.051133458,0.0596557,0.05539458,0.0596557,0.17044486,0.09374467,0.13635589,0.02982785,0.14487813,0.051133458,0.08096131,0.0596557,0.07670019,0.07243907,0.08948355,0.042611215,0.021305608,0.07243907,0.068177946,0.0596557,0.02982785,0.025566729,0.063916825,0.042611215,0.038350094,0.034088973,0.02982785,0.051133458,0.046872336,0.012783364,0.07243907,0.025566729,0.017044486,0.034088973,0.025566729,0.90335774,0.32810634,0.20453383,0.1789671,0.15340038,0.10652804,0.1193114,0.16192262,0.11505028,0.038350094,0.07670019,0.08096131,0.07670019,0.05539458,0.05539458,0.08948355,0.18748935,0.038350094,0.08096131,0.051133458,0.025566729,0.046872336,0.051133458,0.08096131,0.012783364,0.046872336,0.14487813,0.068177946,0.05539458,0.042611215,0.042611215,0.068177946,0.11505028,0.0596557,0.08096131,0.05539458,0.012783364,0.05539458,0.098005794,0.012783364,0.05539458,0.08522243,0.05539458,0.02982785,0.046872336,0.012783364,0.042611215,0.012783364,0.012783364,0.10652804,0.16618374,0.046872336,0,0.12783365,0.07670019,0.0596557,0.07243907,0.098005794,0.102266915,0.051133458,0.034088973,0.004261122,0.0596557,0.051133458,0.0596557,0.038350094,0.021305608,0.08096131,0.08948355,0.063916825,0.025566729,0.08522243,0.012783364,0.004261122,0.034088973,0.063916825,0.012783364,0.012783364,0.034088973,0.025566729,0.068177946,0.0596557,0.063916825,0.012783364,0.07243907,0.046872336,0.19601159,0.05539458,0.1193114,0.13635589,0.068177946,0.12357252,0.034088973,0.034088973,0.021305608,0.021305608,0.034088973,0.021305608,0.068177946,0.034088973,0.08948355,0.07670019,0.0596557,0.008522243,0.08096131,0.07243907,0.017044486,0.021305608,0.017044486
